graph,pool_item_a,graph_node_a,pool_item_b,graph_node_b,pool_item_c,graph_node_c,pool_item_d,graph_node_d,pool_item_e,graph_node_e,pool_item_f,graph_node_f,operator_1,orientation_1,operator_2,orientation_2,operator_3,orientation_3,operator_4,orientation_4
condition_1,stim/paper lantern_b.png,node_1,stim/binder_b.png,node_5,stim/pool table_a.png,node_4,stim/treadmill_b.png,node_6,stim/television_a.png,node_3,stim/allen wrench_a.png,node_2,Tane,north,Reto,east,Eubel,south,Pilep,west
condition_2,stim/hedge shears_a.png,node_6,stim/clarinet_b.png,node_2,stim/leaf blower_b.png,node_1,stim/gravy boat_b.png,node_3,stim/wallet_b.png,node_5,stim/tennis ball_b.png,node_4,Tane,north,Reto,east,Eubel,south,Pilep,west
