graph,pool_item_a,graph_node_a,pool_item_b,graph_node_b,pool_item_c,graph_node_c,pool_item_d,graph_node_d,pool_item_e,graph_node_e,pool_item_f,graph_node_f,operator_1,orientation_1,operator_2,orientation_2,operator_3,orientation_3,operator_4,orientation_4
condition_1,stim/leaf blower_a.png,node_5,stim/guitar amplifier_b.png,node_2,stim/allen wrench_b.png,node_4,stim/hedge shears_b.png,node_3,stim/television_b.png,node_6,stim/binder_b.png,node_1,Zoder,north,Kleeg,east,Tane,south,Datton,west
condition_2,stim/tennis ball_a.png,node_1,stim/gravy boat_a.png,node_5,stim/circular saw blade_b.png,node_2,stim/broom_b.png,node_3,stim/flashlight_b.png,node_6,stim/pretzel_a.png,node_4,Zoder,north,Kleeg,east,Tane,south,Datton,west
